,Times runned,Elevation,temperature,M,F,humidity,arrival_time
0,1,2293.990966796875,48.41,1,0,0.83,1:19:15
1,1,16.08767890930176,48.41,1,0,0.83,1:19:15
2,1,2293.990966796875,48.41,1,0,0.83,1:19:15
3,1,1895.031005859375,48.41,1,0,0.83,1:19:16
4,1,2070.04833984375,48.41,1,0,0.83,1:19:18
5,1,2070.04833984375,48.41,1,0,0.83,1:19:17
6,1,2070.04833984375,48.41,1,0,0.83,1:19:26
7,1,13.06448364257812,48.41,1,0,0.83,1:19:16
8,1,2293.990966796875,48.41,1,0,0.83,1:19:17
9,1,137.57452392578122,48.41,1,0,0.83,1:20:38
10,1,1488.357421875,48.41,1,0,0.83,1:19:17
11,1,2293.990966796875,48.41,1,0,0.83,1:19:15
12,1,1831.0819091796882,48.41,1,0,0.83,1:21:45
13,1,2050.240234375,48.41,1,0,0.83,1:19:15
14,1,69.05870056152344,48.41,1,0,0.83,1:22:16
15,1,408.7935485839844,48.41,1,0,0.83,1:20:06
16,1,1623.9774169921882,48.41,1,0,0.83,1:23:42
17,1,37.14537048339844,48.41,1,0,0.83,1:19:38
18,1,37.14537048339844,48.41,1,0,0.83,1:23:20
19,1,2070.04833984375,48.41,1,0,0.83,1:19:41
20,1,286.7633666992188,48.41,1,0,0.83,1:25:23
21,1,397.1535034179688,48.41,1,0,0.83,1:24:23
22,1,16.84739112854004,48.41,1,0,0.83,1:25:59
23,1,263.76736450195307,48.41,1,0,0.83,1:25:34
24,1,655.7412109375,48.41,1,0,0.83,1:21:41
25,1,25.25222396850586,48.41,1,0,0.83,1:26:06
26,1,37.14537048339844,48.41,1,0,0.83,1:22:38
27,1,1217.035522460938,48.41,1,0,0.83,1:26:10
28,1,263.49282836914057,48.41,1,0,0.83,1:25:02
29,1,16.83182334899902,48.41,1,0,0.83,1:27:36
30,1,63.01810073852539,48.41,1,0,0.83,1:26:48
31,1,401.7437133789062,48.41,0,1,0.83,1:29:13
32,1,263.1090087890625,48.41,1,0,0.83,1:27:31
33,1,219.4850006103516,48.41,1,0,0.83,1:27:39
34,1,2358.822509765625,48.41,0,1,0.83,1:29:13
35,1,512.2357788085939,48.41,1,0,0.83,1:27:22
36,1,16.83182334899902,48.41,1,0,0.83,1:27:32
37,1,87.09457397460938,48.41,1,0,0.83,1:30:06
38,1,614.4942016601562,48.41,1,0,0.83,1:27:52
39,1,77.97574615478516,48.41,1,0,0.83,1:26:19
40,1,259.998291015625,48.41,1,0,0.83,1:27:55
41,1,8.027867317199707,48.41,1,0,0.83,1:27:18
42,1,4.333643436431885,48.41,0,1,0.83,1:29:59
43,1,237.44512939453116,48.41,1,0,0.83,1:25:50
44,1,13.346641540527338,48.41,1,0,0.83,1:28:21
45,1,6.19499397277832,48.41,1,0,0.83,1:26:00
46,1,1831.0819091796882,48.41,1,0,0.83,1:29:08
47,1,131.0602111816406,48.41,1,0,0.83,1:27:45
48,1,109.5502395629883,48.41,1,0,0.83,1:26:23
49,1,1905.7237548828118,48.41,0,1,0.83,1:29:13
50,1,321.9679870605469,48.41,1,0,0.83,1:30:20
51,1,192.3346252441406,48.41,1,0,0.83,1:28:27
52,1,401.7437133789062,48.41,0,1,0.83,1:29:28
