,Times runned,Elevation,temperature,M,F,humidity,arrival_time
0,1,2293.990966796875,48.41,1,0,0.83,1:34:17
1,1,16.08767890930176,48.41,1,0,0.83,1:34:17
2,1,2293.990966796875,48.41,1,0,0.83,1:34:45
3,1,1895.031005859375,48.41,1,0,0.83,1:34:45
4,1,2070.04833984375,48.41,1,0,0.83,1:34:46
5,1,2070.04833984375,48.41,1,0,0.83,1:35:03
6,1,2070.04833984375,48.41,1,0,0.83,1:34:45
7,1,13.06448364257812,48.41,1,0,0.83,1:34:52
8,1,2293.990966796875,48.41,1,0,0.83,1:35:39
9,1,137.57452392578122,48.41,1,0,0.83,1:37:26
10,1,1488.357421875,48.41,1,0,0.83,1:35:09
11,1,2293.990966796875,48.41,1,0,0.83,1:35:16
12,1,1831.0819091796882,48.41,1,0,0.83,1:39:24
13,1,2050.240234375,48.41,1,0,0.83,1:35:08
14,1,69.05870056152344,48.41,1,0,0.83,1:39:45
15,1,408.7935485839844,48.41,1,0,0.83,1:37:44
16,1,1623.9774169921882,48.41,1,0,0.83,1:41:18
17,1,37.14537048339844,48.41,1,0,0.83,1:37:40
18,1,37.14537048339844,48.41,1,0,0.83,1:41:32
19,1,2070.04833984375,48.41,1,0,0.83,1:37:25
20,1,286.7633666992188,48.41,1,0,0.83,1:43:23
21,1,397.1535034179688,48.41,1,0,0.83,1:42:36
22,1,16.84739112854004,48.41,1,0,0.83,1:43:42
23,1,263.76736450195307,48.41,1,0,0.83,1:43:37
24,1,655.7412109375,48.41,1,0,0.83,1:39:27
25,1,25.25222396850586,48.41,1,0,0.83,1:43:49
26,1,37.14537048339844,48.41,1,0,0.83,1:40:42
27,1,1217.035522460938,48.41,1,0,0.83,1:44:21
28,1,263.49282836914057,48.41,1,0,0.83,1:43:07
29,1,16.83182334899902,48.41,1,0,0.83,1:45:22
30,1,63.01810073852539,48.41,1,0,0.83,1:44:43
31,1,401.7437133789062,48.41,0,1,0.83,1:46:32
32,1,263.1090087890625,48.41,1,0,0.83,1:45:45
33,1,219.4850006103516,48.41,1,0,0.83,1:45:27
34,1,2358.822509765625,48.41,0,1,0.83,1:46:33
35,1,512.2357788085939,48.41,1,0,0.83,1:45:53
36,1,16.83182334899902,48.41,1,0,0.83,1:45:20
37,1,87.09457397460938,48.41,1,0,0.83,1:48:11
38,1,614.4942016601562,48.41,1,0,0.83,1:46:15
39,1,77.97574615478516,48.41,1,0,0.83,1:44:48
40,1,259.998291015625,48.41,1,0,0.83,1:46:36
41,1,8.027867317199707,48.41,1,0,0.83,1:46:07
42,1,4.333643436431885,48.41,0,1,0.83,1:48:01
43,1,237.44512939453116,48.41,1,0,0.83,1:44:53
44,1,13.346641540527338,48.41,1,0,0.83,1:46:27
45,1,6.19499397277832,48.41,1,0,0.83,1:44:49
46,1,1831.0819091796882,48.41,1,0,0.83,1:47:31
47,1,131.0602111816406,48.41,1,0,0.83,1:45:58
48,1,109.5502395629883,48.41,1,0,0.83,1:44:57
49,1,1905.7237548828118,48.41,0,1,0.83,1:46:34
50,1,321.9679870605469,48.41,1,0,0.83,1:49:02
51,1,192.3346252441406,48.41,1,0,0.83,1:47:28
52,1,401.7437133789062,48.41,0,1,0.83,1:47:30
53,1,21.0,48.41,1,0,0.83,1:45:04
54,1,181.5143737792969,48.41,1,0,0.83,1:46:53
55,1,278.49575805664057,48.41,1,0,0.83,1:49:10
56,1,800.7213134765625,48.41,1,0,0.83,1:41:57
57,1,10.44776248931885,48.41,1,0,0.83,1:49:01
58,1,380.0,48.41,1,0,0.83,1:47:32
59,1,215.9745635986328,48.41,1,0,0.83,1:49:32
60,1,2356.704345703125,48.41,0,1,0.83,1:47:40
61,1,228.0850677490234,48.41,1,0,0.83,1:46:22
62,1,22.12597465515137,48.41,1,0,0.83,1:46:28
63,1,31.97005462646484,48.41,1,0,0.83,1:47:58
64,1,225.2796173095703,48.41,0,1,0.83,1:50:30
65,1,1105.029907226562,48.41,1,0,0.83,1:49:47
66,1,15.224977493286133,48.41,1,0,0.83,1:48:33
67,1,159.2595977783203,48.41,1,0,0.83,1:46:33
68,1,21.08057022094727,48.41,1,0,0.83,1:47:08
69,1,13.346641540527338,48.41,1,0,0.83,1:48:36
70,1,140.9563293457031,48.41,1,0,0.83,1:46:29
71,1,331.5245056152344,48.41,1,0,0.83,1:47:54
72,1,192.6400146484375,48.41,1,0,0.83,1:47:53
73,1,1509.999267578125,48.41,1,0,0.83,1:48:27
74,1,897.9967651367188,48.41,1,0,0.83,1:50:47
75,1,14.32654094696045,48.41,1,0,0.83,1:48:26
76,1,35.8804931640625,48.41,1,0,0.83,1:49:29
77,1,614.4942016601562,48.41,1,0,0.83,1:50:31
78,1,292.6947631835938,48.41,1,0,0.83,1:48:46
